id,name,distance,moving_time,type,average_speed,start_date,total_elevation_gain,gear_id,average_heartrate,elapsed_time,kilojoules,calories,average_cadence
9195576477,Lunch Swim,1250.0,1288,Swim,0.97,2023-06-03T15:57:44+00:00,0,,,1539,,,24.5
9190845878,Afternoon Ride,66910.9,8721,Ride,7.672,2023-06-02T20:56:53+00:00,106.0,b1683032,132.3,8835,1489.6,,70.3
9185089071,Afternoon Ride,62829.4,8082,Ride,7.774,2023-06-01T20:40:53+00:00,88.0,b1683032,132.3,8266,1461.4,,71.4
9183440104,Afternoon Weight Training,0.0,835,WeightTraining,0.0,2023-06-01T17:19:14+00:00,0,,88.3,835,,,
9180043857,Evening Swim,3131.8,3093,Swim,1.013,2023-06-01T00:43:13+00:00,0,,,3969,,,21.4
9172750798,Evening Swim,2445.2,3143,Swim,0.778,2023-05-30T23:32:17+00:00,0.0,,,3143,,,26.3
9172218147,Afternoon Ride,37225.1,4610,Ride,8.075,2023-05-30T20:45:35+00:00,50.0,b1683032,131.7,4972,913.1,,72.1
9164801613,Lunch Ride,44358.5,5777,Ride,7.678,2023-05-29T16:20:33+00:00,69.0,b1683032,129.7,6127,1045.3,,71.9
9159890652,Afternoon Ride,76671.1,9616,Ride,7.973,2023-05-28T19:41:20+00:00,171.0,b1683032,137.6,11464,1926.3,,72.8
9157719262,Lunch Weight Training,0.0,1758,WeightTraining,0.0,2023-05-28T15:02:53+00:00,0,,72.7,1758,,,
9150655894,#TCC ride #newChainDay,48318.5,5638,Ride,8.57,2023-05-27T13:02:15+00:00,60.0,b1683032,137.4,6026,1094.4,,75.4
9146730711,Easy ride listening to classic Metallica,44090.2,5490,Ride,8.031,2023-05-26T22:17:10+00:00,66.0,b1683032,124.0,5598,1092.3,,73.9
9141042143,Afternoon Ride,46485.3,6117,Ride,7.599,2023-05-25T21:28:02+00:00,71.0,b1683032,133.5,6539,1253.4,,73.7
9140634550,Afternoon Ride,27007.3,3436,Ride,7.86,2023-05-25T20:21:08+00:00,40.0,b1683032,114.1,3514,672.3,,73.1
9134117136,Afternoon Weight Training,0.0,1541,WeightTraining,0.0,2023-05-24T19:19:57+00:00,0,,86.4,1541,,,
9122758253,Ready swim,2194.6,2700,Swim,0.813,2023-05-23T00:45:23+00:00,0,,,2700,,,
9122260684,Afternoon Ride,63325.7,7555,Ride,8.382,2023-05-22T21:23:51+00:00,107.0,b1683032,131.3,8760,1518.0,,75.0
9109328766,Lunch Ride,120427.0,20124,Ride,5.984,2023-05-20T16:17:27+00:00,895.0,b1683032,137.0,26784,3811.7,,70.1
9097470952,Afternoon Ride,72461.1,9289,Ride,7.801,2023-05-18T21:07:21+00:00,103.0,b1683032,128.6,10919,1859.1,,71.5
9091357886,Evening Swim,2948.9,3441,Swim,0.857,2023-05-18T00:36:47+00:00,0,,,4720,,,22.6
9090454413,Afternoon Walk,4603.6,3179,Walk,1.448,2023-05-17T20:27:58+00:00,13.0,g3714779,98.2,3249,,,55.0
9084853118,Afternoon Ride,59991.0,7485,Ride,8.015,2023-05-16T21:07:22+00:00,73.0,b1683032,125.8,8216,1547.1,,74.9
9078924576,Evening Ride,48672.7,6508,Ride,7.479,2023-05-15T23:07:03+00:00,79.0,b1683032,131.7,6788,1210.7,,72.6
9078333017,Evening Row,0.0,581,Rowing,0.0,2023-05-15T22:15:21+00:00,0,,135.1,581,,,26.3
9078281250,Afternoon Weight Training,0.0,1716,WeightTraining,0.0,2023-05-15T21:42:46+00:00,0,,90.3,1716,,,
9072177748,Lunch Ride,66333.9,8511,Ride,7.794,2023-05-14T16:26:12+00:00,98.0,b1683032,128.9,8557,1781.7,,74.8
9049028584,Afternoon Ride,88623.0,11039,Ride,8.028,2023-05-10T20:09:02+00:00,128.0,b1683032,142.1,12264,2169.2,,74.3
9042750939,"Afternoon Ride,making new friends",35535.9,4988,Ride,7.124,2023-05-09T21:46:24+00:00,42.0,b1683032,116.3,5898,803.7,,66.5
9037458769,Evening Swim,1051.6,1356,Swim,0.775,2023-05-09T00:40:54+00:00,0,,,2048,,,18.1
9035967264,Afternoon Hike,5233.3,5196,Hike,1.007,2023-05-08T19:24:16+00:00,47.0,g3714779,69.3,5285,,,49.6
9022596779,Morning Ride,88046.4,11451,Ride,7.689,2023-05-06T13:15:44+00:00,130.0,b1683032,128.5,13146,2199.5,,75.0
9016991797,Afternoon Hike,4160.9,3867,Hike,1.076,2023-05-05T18:18:34+00:00,13.0,g3714779,73.7,3935,,,51.8
9016995340,Afternoon Walk,5289.6,4103,Walk,1.289,2023-05-05T18:17:34+00:00,0,g3714779,80.5,4103,,,51.6
9012271040,Afternoon Ride,55649.1,6852,Ride,8.122,2023-05-04T21:16:20+00:00,72.0,b1683032,150.7,6938,1560.8,,78.7
9011598430,Afternoon Ride,13812.9,2908,Ride,4.75,2023-05-04T19:21:05+00:00,36.0,b1683032,138.4,3363,480.1,,62.2
9006758025,Pool,2194.6,3600,Swim,0.61,2023-05-04T00:05:50+00:00,0,,,3600,,,
9006072292,got tron,17044.8,2830,VirtualRide,6.023,2023-05-03T22:37:01+00:00,199.0,b1683032,114.0,2951,505.7,,71.9
8999493952,Evening Workout,0.0,587,Workout,0.0,2023-05-02T22:22:25+00:00,0,,130.9,587,,,
8999493470,Afternoon Weight Training,0.0,2152,WeightTraining,0.0,2023-05-02T21:45:07+00:00,0,,92.9,2152,,,
8994036957,Evening Swim,2537.5,0,Swim,0.0,2023-05-02T00:32:07+00:00,0,,,4148,,,
8993596605,weather sucks still,15029.4,3444,VirtualRide,4.364,2023-05-01T22:40:52+00:00,419.0,b1683032,114.3,3444,605.2,,74.5
8986970036,shake down,6192.5,1184,VirtualRide,5.23,2023-04-30T22:08:28+00:00,91.0,b1683032,,1199,205.7,,73.3
8986904677,shake out from hills,7150.3,1737,VirtualRide,4.116,2023-04-30T21:33:37+00:00,183.0,b1683032,115.6,1817,306.8,,78.2
8980411776,Lunch Ride,131261.0,19795,Ride,6.631,2023-04-29T15:05:47+00:00,890.0,b1683032,131.8,24957,3940.9,,74.5
8974426403,almost tron,19102.1,4233,VirtualRide,4.513,2023-04-28T22:04:18+00:00,540.0,b1683032,130.2,4233,831.8,,81.0
8973937704,Afternoon Weight Training,0.0,1846,WeightTraining,0.0,2023-04-28T20:09:20+00:00,0,,83.8,1846,,,
8969363839,Afternoon Ride,69227.0,8937,Ride,7.746,2023-04-27T21:00:32+00:00,98.0,b1683032,125.4,9605,1699.7,,75.1
8963738406,maybe life will get out of way,24924.3,5415,VirtualRide,4.603,2023-04-26T23:07:07+00:00,525.0,b1683032,136.2,5546,984.2,,77.0
8957435851,Afternoon Ride,41604.6,5509,Ride,7.552,2023-04-25T21:45:47+00:00,48.0,b1683032,123.1,5657,965.1,,74.3
8957035641,Afternoon Ride,9684.8,1368,Ride,7.08,2023-04-25T21:13:45+00:00,10.0,b1683032,124.0,1435,265.1,,73.2
8951744940,Evening Swim,2491.7,0,Swim,0.0,2023-04-25T00:40:22+00:00,0,,,4126,,,
8950961479,easy spin,15248.2,2911,VirtualRide,5.238,2023-04-24T21:39:23+00:00,342.0,b1683032,132.6,2911,497.1,,75.6
8945623130,Afternoon Ride,57588.3,7041,Ride,8.179,2023-04-23T19:20:13+00:00,90.0,b1683032,148.3,7391,1541.1,,79.9
8939234633,Zwift - 2018 UCI Worlds Short Lap in Innsbruck,49079.1,7067,VirtualRide,6.945,2023-04-22T20:38:10+00:00,694.0,b1683032,141.2,7084,1378.6,,78.1
8933123496,baby that knee,15060.0,3684,VirtualRide,4.088,2023-04-21T22:19:05+00:00,385.0,b1683032,107.0,3740,583.3,,72.3
8932205126,Afternoon Weight Training,0.0,2813,WeightTraining,0.0,2023-04-21T18:05:30+00:00,0,,121.4,2813,,,
8922421214,Evening Swim,1828.8,0,Swim,0.0,2023-04-20T00:36:59+00:00,0,,,2840,,,
8915629854,Zwift - New Workout easy in Watopia,13061.7,3388,VirtualRide,3.855,2023-04-18T21:23:40+00:00,328.0,b1683032,39.9,3502,473.5,,69.0
8903271636,Lunch Weight Training,0.0,2797,WeightTraining,0.0,2023-04-16T16:12:05+00:00,0,,105.0,2797,,,
8897729986,Easy ride need the point ,26299.9,3308,VirtualRide,7.95,2023-04-15T23:18:08+00:00,103.0,b1683032,114.7,3308,558.2,,75.2
8897571879,Zwift - 90min Riders Choice in Watopia,3724.8,431,VirtualRide,8.642,2023-04-15T23:09:10+00:00,4.0,b1683032,101.9,431,69.8,,62.0
8891065845,Afternoon Ride broken spoke 😨,48741.9,6533,Ride,7.461,2023-04-14T18:54:48+00:00,76.0,b1683032,144.4,6908,1139.3,,76.0
8886532206,finally a outside ride with real people,50948.0,6207,Ride,8.208,2023-04-13T21:36:12+00:00,75.0,b1683032,146.4,7391,1221.7,,77.3
8886064135,Afternoon Ride,19420.5,2603,Ride,7.461,2023-04-13T20:47:29+00:00,23.0,b1683032,133.8,2841,489.5,,76.0
8881241982,Evening Swim,2468.9,0,Swim,0.0,2023-04-13T00:39:14+00:00,0,,,3704,,,
8880617386,The wind need to blow somewhere else,48427.6,6350,Ride,7.626,2023-04-12T21:01:02+00:00,97.0,b1683032,145.1,6504,1309.5,,75.1
8869262060,Evening Swim,2743.2,0,Swim,0.0,2023-04-11T00:35:58+00:00,0,,,3897,,,
8862816381,Afternoon Ride,89212.6,12670,Ride,7.041,2023-04-09T17:08:12+00:00,216.0,b1683032,128.0,13941,2510.4,,74.6
8856888504,Zwift - Whole Lotta Lava in Watopia,26128.0,3187,VirtualRide,8.198,2023-04-08T23:05:16+00:00,279.0,b1683032,136.1,3272,654.8,,80.1
8850564201,first bike in city forest... i think 42's are gonna be good for C2C.,11262.1,2696,Ride,4.177,2023-04-07T22:04:28+00:00,41.0,b1683032,123.4,3335,474.3,,65.2
8845085675,First gravel ride ever wind sucked,23777.5,3679,Ride,6.463,2023-04-06T22:26:14+00:00,42.0,b1683032,136.4,3991,708.1,,75.4
8840122122,Evening Swim,1874.5,0,Swim,0.0,2023-04-06T00:41:59+00:00,0,,,4615,,,
8839104500,Afternoon Weight Training,0.0,1722,WeightTraining,0.0,2023-04-05T20:11:26+00:00,0,,104.1,1722,,,
8834151074,Zwift - BikeMS 6 minute pulls in Watopia,12376.3,4018,VirtualRide,3.08,2023-04-04T23:15:04+00:00,617.0,b1683032,131.0,4157,798.8,,76.9
8828112500,Zwift - Group Ride: Tour of Watopia 2023 | Stage 5 | Long Route on Big Loop in Watopia,4064.0,606,VirtualRide,6.706,2023-04-04T01:00:26+00:00,17.0,b1683032,133.8,606,93.1,,71.3
8828078974,Zwift - Group Ride: Tour of Watopia 2023 | Stage 5 | Short Route on Sand And Sequoias in Watopia,26366.7,3246,VirtualRide,8.123,2023-04-04T00:04:49+00:00,186.0,b1683032,148.0,3269,584.7,,76.1
8827898930,Zwift - Volcano Circuit CCW in Watopia,5646.4,701,VirtualRide,8.055,2023-04-03T23:51:13+00:00,24.0,b1683032,125.2,701,115.5,,72.5
8821831000,Afternoon Ride,71762.7,9049,Ride,7.93,2023-04-02T18:01:06+00:00,109.0,b1683032,148.5,9433,1832.0,,75.9
8821120782,Afternoon Ride,8197.4,1189,Ride,6.894,2023-04-02T17:33:49+00:00,17.0,b1683032,138.6,1189,211.3,,72.7
8814947128,"easy ride after ""lifting""",8005.7,1391,VirtualRide,5.755,2023-04-01T18:05:01+00:00,33.0,b1683032,106.2,1528,149.1,,71.4
8814831987,Zwift - Lutece Express in Paris,14125.5,2133,VirtualRide,6.622,2023-04-01T17:26:22+00:00,87.0,b1683032,116.6,2182,287.8,,73.0
8810115291,Zwift - Group Ride: Tour of Watopia 2023 | Stage 4 | Short Route on Serpentine 8 in Watopia,26130.6,4614,VirtualRide,5.663,2023-03-31T21:04:40+00:00,236.0,b1683032,129.9,4896,776.8,,72.8
8809848963,Zwift - Tempus Fugit in Watopia,8306.5,1025,VirtualRide,8.104,2023-03-31T20:45:58+00:00,12.0,b1683032,117.9,1025,165.3,,72.6
8806228574,Zwift - Group Ride: Tour of Watopia 2023 | Stage 4 | Short Route on Serpentine 8 in Watopia,20213.7,2981,VirtualRide,6.781,2023-03-31T02:04:32+00:00,172.0,b1683032,144.3,2981,570.9,,76.5
8806129070,Zwift - Volcano Circuit in Watopia,4830.4,600,VirtualRide,8.051,2023-03-31T01:53:32+00:00,22.0,b1683032,133.4,600,103.6,,74.6
8805403185,Zwift - Christy Jackson M3RC's Meetup on Jungle Circuit in Watopia,16143.1,2583,VirtualRide,6.25,2023-03-30T21:30:02+00:00,138.0,b1683032,147.8,2583,550.3,,78.1
8800238275,Zwift - Group Ride: Tour of Watopia 2023 | Stage 4 | Standard Route on Road to Ruins in Watopia,30307.2,4034,VirtualRide,7.513,2023-03-29T22:12:41+00:00,211.0,b1683032,141.7,4094,749.6,,76.0
8799975496,Zwift - Group Ride: Tour of Watopia 2023 | Stage 4 | Standard Route on Road to Ruins in Watopia,2667.6,249,VirtualRide,10.713,2023-03-29T22:02:37+00:00,4.0,b1683032,128.7,454,46.6,,80.6
8799937452,Zwift - Hilly Route in Watopia,5018.9,691,VirtualRide,7.263,2023-03-29T21:48:29+00:00,67.0,b1683032,139.6,706,136.4,,76.3
8794578022,Afternoon Ride,50001.4,6579,Ride,7.6,2023-03-28T21:43:05+00:00,83.0,b1683032,127.4,6814,1351.0,,74.4
8788847544,Zwift - Group Ride: Tour of Watopia 2023 | Stage 4 | Long Route on Dust In The Wind in Watopia,53081.6,6754,VirtualRide,7.859,2023-03-27T22:00:20+00:00,583.0,b1683032,153.4,6754,1402.0,,79.5
8788409948,Zwift - Two Bridges Loop in Watopia,3896.2,501,VirtualRide,7.777,2023-03-27T21:50:10+00:00,47.0,b1683032,123.6,501,101.4,,69.7
8782947287,Zwift - Watopia,12120.1,1942,VirtualRide,6.241,2023-03-26T19:02:40+00:00,197.0,b1683032,143.0,1942,349.0,,71.9
8782674615,Zwift - Legends and Lava in Watopia,16949.3,2064,VirtualRide,8.212,2023-03-26T18:26:11+00:00,190.0,b1683032,138.3,2064,397.8,,74.8
8771536569,Zwift - Group Ride: Tour of Watopia 2023 | Stage 3 | Short Route on Volcano Climb in Watopia,23067.2,3367,VirtualRide,6.851,2023-03-24T22:04:49+00:00,203.0,b1683032,127.9,3509,567.1,,76.0
8771317206,Zwift - The Muckle Yin in Scotland,21047.3,2629,VirtualRide,8.006,2023-03-24T21:16:36+00:00,250.0,b1683032,139.1,2714,568.6,,78.5
8766746744,Afternoon Ride,47799.1,6837,Ride,6.991,2023-03-23T21:50:18+00:00,77.0,b1683032,118.6,6985,1263.1,,72.6
8760758790,Afternoon Ride,40532.2,5004,Ride,8.1,2023-03-22T20:25:17+00:00,50.0,b1683032,158.7,5004,1232.9,,83.2
8754979914,Zwift - Loch Loop in Scotland,29609.2,3425,VirtualRide,8.645,2023-03-21T21:10:08+00:00,284.0,b1683032,145.4,3466,722.2,,81.8
8749595257,Zwift - Group Ride: Tour of Watopia 2023 | Stage 3 | Standard Route on Mountain Route in Watopia,32391.5,4956,VirtualRide,6.536,2023-03-20T23:02:38+00:00,686.0,b1683032,7.9,5050,1066.6,,76.4
8726247279,Zwift - Group Ride: Tour of Watopia 2023 | Stage 2 | Standard Route on Out And Back Again in Watopia,24568.3,2843,VirtualRide,8.642,2023-03-16T20:02:35+00:00,172.0,b1683032,146.3,2866,607.2,,78.4
8716064329,Zwift - Group Ride: Tour of Watopia 2023 | Stage 2 | Short Route on Watopia's Waistband in Watopia,28107.5,3554,VirtualRide,7.909,2023-03-15T00:04:39+00:00,101.0,b1683032,126.1,3683,619.0,,76.8
8715861769,Zwift - Petit Boucle in France,22899.7,2661,VirtualRide,8.606,2023-03-14T23:18:42+00:00,116.0,b1683032,130.0,2661,512.4,,78.1
8710547141,Zwift - Group Ride: Tour of Watopia 2023 | Stage 2 | Long Route on Big Foot Hills in Watopia,70019.0,9288,VirtualRide,7.539,2023-03-13T23:00:21+00:00,714.0,b1683032,88.2,9470,1647.7,,76.1
8678886767,Zwift - Group Ride: Tour of Watopia 2023 | Stage 1 | Long Route on Triple Flat Loops in Watopia,37090.5,4055,VirtualRide,9.147,2023-03-08T03:00:21+00:00,163.0,b1683032,142.8,4055,850.4,,80.3
8672756007,Zwift - Champs-Élysées in Paris,30006.6,3923,VirtualRide,7.649,2023-03-07T00:06:12+00:00,170.0,b1683032,119.2,3943,661.7,,74.4
8661162847,i dont remember centrel park being hilly,25051.2,3514,VirtualRide,7.129,2023-03-04T23:46:11+00:00,397.0,b1683032,126.6,3533,637.7,,75.2
8654484151,Zwift - Sprinter's Playground in Makuri Islands,37177.9,4442,VirtualRide,8.37,2023-03-03T18:09:51+00:00,202.0,b1683032,100.5,8711,820.1,,79.2
8650388320,Zwift - Gotham Grind in New York,54133.9,6815,VirtualRide,7.943,2023-03-02T22:38:25+00:00,568.0,b1683032,126.3,7225,1219.9,,75.8
8639179586,Zwift - Beach Island Loop in Watopia,17289.1,2171,VirtualRide,7.964,2023-02-28T23:20:17+00:00,65.0,b1683032,122.5,2171,384.4,,75.0
8638999453,Afternoon Weight Training,0.0,2553,WeightTraining,0.0,2023-02-28T22:27:58+00:00,0,,79.3,2553,,,
8633416540,Zwift - The Fan Flats in Richmond,31004.9,3619,VirtualRide,8.567,2023-02-27T22:34:08+00:00,76.0,b1683032,107.6,3641,673.1,,75.4
8628663159,Evening Weight Training,0.0,1872,WeightTraining,0.0,2023-02-26T23:54:15+00:00,0,,83.4,1872,,,
8622564412,Zwift - slug through - forced pace in London,174102.0,28454,VirtualRide,6.119,2023-02-25T15:39:26+00:00,2286.0,b1683032,120.5,31841,4842.5,,75.3
8616802685,Zwift - Champs-Élysées in Paris,30063.5,3891,VirtualRide,7.726,2023-02-24T22:42:00+00:00,171.0,b1683032,143.6,4182,704.1,,75.1
8612057527,Zwift - Sleepless City in Makuri Islands,38061.0,4710,VirtualRide,8.081,2023-02-23T22:32:44+00:00,170.0,b1683032,135.3,4710,801.8,,79.0
8607021421,Zwift - Tempus Fugit in Watopia,26057.8,3247,VirtualRide,8.025,2023-02-23T00:16:58+00:00,38.0,b1683032,133.9,3247,509.3,,72.9
8606852365,Zwift - SST (Long) in Watopia,9992.0,1519,VirtualRide,6.578,2023-02-22T23:49:42+00:00,123.0,b1683032,124.1,1519,303.0,,73.8
8601611341,Zwift - Race: STAGE 3: RACE SCOTLAND - THE MUCKLE YIN (D) on The Muckle Yin in Scotland,25049.0,2829,VirtualRide,8.854,2023-02-22T00:13:43+00:00,288.0,b1683032,154.6,2829,696.8,,82.1
8601460774,Zwift - Beach Island Loop in Watopia,3839.4,497,VirtualRide,7.725,2023-02-22T00:03:37+00:00,16.0,b1683032,99.2,497,79.5,,66.3
8595451027,Zwift.   recovery,25168.2,2965,VirtualRide,8.488,2023-02-20T22:12:49+00:00,38.0,b1683032,,3036,489.4,,71.3
8590219980,Zwift - Flat Route in Watopia,25054.7,3307,VirtualRide,7.576,2023-02-19T21:49:16+00:00,135.0,b1683032,128.6,3341,556.5,,74.2
8583624663,Zwift - The Pretzel in Watopia,73036.4,12566,VirtualRide,5.812,2023-02-18T17:21:24+00:00,1363.0,b1683032,83.3,13406,2263.9,,75.8
8578709153,Zwift - took every alternate route from suggestion until epic kom,25063.2,3658,VirtualRide,6.852,2023-02-17T23:08:23+00:00,141.0,b1683032,136.3,3701,641.1,,74.9
8573772526,Zwift - Christy Jackson M3RC's Meetup on Serpentine 8 in Watopia,30357.4,5023,VirtualRide,6.044,2023-02-16T22:45:00+00:00,275.0,b1683032,118.6,5023,889.6,,71.7
8573474719,Zwift - Serpentine 8 in Watopia,4694.5,605,VirtualRide,7.759,2023-02-16T22:32:46+00:00,7.0,b1683032,83.7,628,77.7,,69.6
8568999474,Evening Swim,2400.3,0,Swim,0.0,2023-02-16T01:30:41+00:00,0,,,4310,,,
8568322308,Zwift - Group Ride: Ride Scotland: Route 2: City and the Sgurr with Zwift Insider (E) on City and the Sgurr in ,14020.9,2256,VirtualRide,6.215,2023-02-15T23:05:01+00:00,228.0,b1683032,134.6,2304,420.5,,73.3
8562907061,Zwift - slug through - forced pace on La Reine in France,32733.1,7769,VirtualRide,4.213,2023-02-14T22:44:57+00:00,1205.0,b1683032,134.7,7769,1548.5,,76.7
8557552957,Evening Swim,2263.1,0,Swim,0.0,2023-02-14T01:39:32+00:00,0,,,5919,,,
8556991777,Zwift - Race: STAGE 2: RACE SCOTLAND - GLASGOW CRIT CIRCUIT (D) on Glasgow Crit Circuit in ,17156.4,1921,VirtualRide,8.931,2023-02-13T23:13:45+00:00,188.0,b1683032,153.2,2008,418.0,,82.6
8556847183,Zwift - Watopia's Waistband in Watopia,12085.2,1418,VirtualRide,8.523,2023-02-13T22:47:23+00:00,59.0,b1683032,128.8,1418,275.7,,78.3
8550941884,Zwift - Makuri 40 in Makuri Islands,41492.5,5553,VirtualRide,7.472,2023-02-12T17:33:26+00:00,317.0,b1683032,145.1,5569,985.4,,78.2
8544857443,Afternoon Ride,38486.2,5226,Ride,7.364,2023-02-11T18:43:16+00:00,81.0,b1683032,143.5,5226,1017.0,,76.6
8544511094,Afternoon Ride,0.0,543,Ride,0.0,2023-02-11T18:30:54+00:00,0,b1683032,119.7,543,88.4,,76.2
8540180982,Zwift - Group Ride: Ride Scotland: Route 3: Glasgow Crit Circuit with ATP Racing (E) on Glasgow Crit Circuit in ,42228.0,5233,VirtualRide,8.07,2023-02-11T01:05:01+00:00,434.0,b1683032,63.1,5471,1048.8,,79.2
8534542284,Zwift - Road to Sky in Watopia,11152.2,2077,VirtualRide,5.369,2023-02-09T22:05:34+00:00,233.0,b1683032,143.3,2077,433.9,,67.9
8529946574,Evening Swim,4549.1,0,Swim,0.0,2023-02-09T01:40:23+00:00,0,,,4814,,,
8529555456,Zwift - London Loop in London,23295.5,3070,VirtualRide,7.588,2023-02-08T23:44:31+00:00,240.0,b1683032,146.1,3070,613.3,,79.1
8524055965,Zwift - Group Ride: Tour de Zwift 2023 | Stage 2 | Ride | Short on The Fan Flats in Richmond,10068.6,1569,VirtualRide,6.417,2023-02-08T01:02:37+00:00,24.0,b1683032,133.1,1601,208.9,,73.2
8523959816,Zwift - Flat Route in Watopia,10045.3,1272,VirtualRide,7.897,2023-02-08T00:38:19+00:00,61.0,b1683032,144.7,1272,229.9,,78.1
8518493060,First time 2023,1829.4,2700,Swim,0.678,2023-02-07T03:29:03+00:00,0,,,2700,,,
8517857133,Zwift - Group Ride: Tour de Zwift 2023 | Stage 4 | Ride | Short on London Loop in London,16062.9,2335,VirtualRide,6.879,2023-02-06T23:02:39+00:00,214.0,b1683032,142.7,2335,435.3,,77.8
8517657868,Zwift - Group Ride: Tour de Zwift 2023 | Stage 3 | Ride | Short on Champs-Élysées in Paris,10076.9,1310,VirtualRide,7.692,2023-02-06T22:32:36+00:00,52.0,b1683032,128.8,1310,215.4,,76.1
8517445764,Zwift - Group Ride: Tour de Zwift 2023 | Stage 1 | Ride | Short on Harrogate Circuit Reverse in Yorkshire,14426.4,1822,VirtualRide,7.918,2023-02-06T21:32:37+00:00,246.0,b1683032,153.3,1822,396.3,,80.3
8516840336,Zwift - Group Ride: Tour de Zwift 2023 | Stage 5 | Ride | Short on Gotham Grind in New York,10192.4,1121,VirtualRide,9.092,2023-02-06T19:32:33+00:00,105.0,b1683032,,1121,224.8,,82.6
8512860012,Zwift - Tire-Bouchon in France,65218.0,8819,VirtualRide,7.395,2023-02-05T22:19:52+00:00,590.0,b1683032,138.7,8885,1577.9,,79.5
8506821283,"Zwift - Group Ride: Tour de Zwift 2023 | Stage 8 | Ride, Short on Rolling Highlands in ",19206.9,2226,VirtualRide,8.628,2023-02-05T02:02:41+00:00,148.0,b1683032,154.5,2311,457.8,,81.4
8506734864,Zwift - Volcano Circuit in Watopia,14114.0,1690,VirtualRide,8.351,2023-02-05T01:32:07+00:00,69.0,b1683032,128.7,1690,301.6,,81.3
8495864630,Zwift - Group Ride: Pedal with Toronto Hustle (D) on Turf N Surf in Makuri Islands,37228.2,4559,VirtualRide,8.166,2023-02-02T23:00:02+00:00,246.0,b1683032,149.8,4581,855.4,,80.7
8490675279,"Zwift - Group Ride: Tour de Zwift 2023 | Stage 7 | Ride, Short on Flatland Loop in Makuri Islands",27219.4,3294,VirtualRide,8.263,2023-02-02T00:04:43+00:00,201.0,b1683032,149.0,3311,638.2,,79.0
8490487818,Zwift - Beach Island Loop in Watopia,12063.3,1449,VirtualRide,8.325,2023-02-01T23:38:25+00:00,45.0,b1683032,139.0,1449,288.1,,78.0
8485033987,Zwift - Race: STAGE 5b: FLAT IS FAST—Watopia Flat Route (A) on Flat Route in Watopia,50200.6,6256,VirtualRide,8.024,2023-01-31T22:31:14+00:00,303.0,b1683032,139.3,6256,1105.8,,75.3
8479852017,Zwift - Volcano Circuit in Watopia,24046.3,3134,VirtualRide,7.673,2023-01-31T02:53:46+00:00,121.0,b1683032,127.9,3134,513.4,,72.5
8474027766,Zwift - Richmond UCI Reverse in Richmond,41455.0,5465,VirtualRide,7.586,2023-01-29T20:21:14+00:00,342.0,b1683032,147.9,5781,1006.2,,76.6
8463065538,"Zwift - Group Ride: Tour de Zwift 2023 | Stage 6 | Ride, Standard on Climber's Gambit in Watopia",40021.1,5987,VirtualRide,6.685,2023-01-28T02:02:38+00:00,731.0,b1683032,150.7,5987,1173.1,,76.4
